name,carbs_per_100g
"Snacks, pretzels, hard, confectioner's coating, chocolate-flavor",70.9
"Snacks, rice cakes, brown rice, sesame seed",81.5
"Snacks, tortilla chips, plain, white corn, salted",67.78
"Snacks, tortilla chips, nacho cheese",60.81
"Snacks, tortilla chips, ranch-flavor",62.74
"Snacks, trail mix, regular",44.9
"Candies, ALMOND JOY Candy Bar",59.51
"Candies, TWIZZLERS CHERRY BITES",79.38
"Candies, NESTLE, BIT-O'-HONEY Candy Chews",80.89
"Candies, NESTLE, BUTTERFINGER Bar",72.9
"Candies, caramels, chocolate-flavor roll",87.73
"Baking chocolate, unsweetened, liquid",36.2
"Baking chocolate, unsweetened, squares",28.42
"Candies, confectioner's coating, yogurt",63.94
"Candies, confectioner's coating, peanut butter",46.88
"Candies, white chocolate",59.24
"Ice creams, vanilla, light",29.46
"Ice creams, vanilla, rich",22.29
"Desserts, flan, caramel custard, prepared-from-recipe",22.78
"Ice creams, vanilla",23.6
"Ice creams, vanilla, light, soft-serve",21.8
"Sherbet, orange",30.4
"Candies, fudge, peanut butter, prepared-from-recipe",77.75
"Candies, fudge, vanilla, prepared-from-recipe",82.15
"Candies, fudge, vanilla with nuts",74.61
"Candies, NESTLE, GOOBERS Chocolate Covered Peanuts",53
"Candies, NESTLE, BABY RUTH Bar",64.8
"Candies, TWIZZLERS Strawberry Twists Candy",79.16
"Syrups, table blends, pancake, with butter",72.43
"Ice creams, chocolate, light",25.7
"Candies, NESTLE, CHUNKY Bar",60.4
"Candies, milk chocolate",59.4
"Puddings, banana, dry mix, instant, prepared with 2% milk",19.74
"Puddings, banana, dry mix, regular, prepared with 2% milk",18.43
"Andrea's, Gluten Free Soft Dinner Roll",40.24
"Crunchmaster, Multi-Grain Crisps, Snack Crackers, Gluten-Free",67.18
"Glutino, Gluten Free Cookies, Chocolate Vanilla Creme",76.03
"Glutino, Gluten Free Cookies, Vanilla Creme",77.34
"Pepperidge Farm, Goldfish, Baked Snack Crackers, Original",65.81
"Pepperidge Farm, Goldfish, Baked Snack Crackers, Parmesan",64.7
"Pepperidge Farm, Goldfish, Baked Snack Crackers, Pizza",65.11
"Rudi's, Gluten-Free Bakery, Original Sandwich Bread",52.83
"Udi's, Gluten Free, Soft & Delicious White Sandwich Bread",51.15
"Udi's, Gluten Free, Soft & Hearty Whole Grain Bread",49.09
"Udi's, Gluten Free, Whole Grain Dinner Rolls",44.29
"Van's, Gluten Free, Totally Original Pancakes",40.32
"Seaweed, Canadian Cultivated EMI-TSUNOMATA, dry",46.24
"Seaweed, Canadian Cultivated EMI-TSUNOMATA, rehydrated",5.62
"Potatoes, hash brown, refrigerated, unprepared",19.16
"Potatoes, hash brown, refrigerated, prepared, pan-fried in canola oil",33.99
"Sweet Potatoes, french fried, frozen as packaged, salt added in processing",35.58
"Moose, meat, raw (Alaska Native)",0
"Mashu roots, raw (Alaska Native)",22.6
"Moose, liver, braised (Alaska Native)",3.43
"Seal, bearded (Oogruk), meat, raw (Alaska Native)",0
"Oil, bearded seal (Oogruk) (Alaska Native)",0
"Oopah (tunicate), whole animal (Alaska Native)",0
"Owl, horned, flesh, raw (Alaska Native)",0
"Fish, salmon, king, chinook, smoked and canned (Alaska Native)",0
"Fish, salmon, king, chinook, smoked, brined (Alaska Native)",0
"Fish, salmon, king, chinook, liver (Alaska Native)",4.3
"Duck, scoter, white-winged, meat (Alaska Native)",0
"Sea cucumber, yane (Alaska Native)",0
"Squirrel, ground, meat (Alaska Native)",0
"Tea, tundra, herb and laborador combination (Alaska Native)",0.2
"Walrus, meat, dried (Alaska Native)",0
"Deer (venison), sitka, raw (Alaska Native)",0
"Whale, bowhead, subcutaneous fat (blubber) (Alaska Native)",0
"Whale, bowhead, skin and subcutaneous fat (muktuk) (Alaska Native)",0
"Oil, whale, bowhead (Alaska Native)",0
"Fish, whitefish, broad, liver (Alaska Native)",5.1
"Mush, blue corn with ash (Navajo)",11.74
"Cornmeal, blue (Navajo)",76.93
"Melon, banana (Navajo)",4.06
"Chilchen (Red Berry Beverage) (Navajo)",8.68
"Corn, dried (Navajo)",74.93
"Squash, Indian, cooked, boiled (Navajo)",3.22
"Bread, kneel down (Navajo)",39.47
"Mutton, cooked, roasted (Navajo)",0.08
"Frybread, made with lard (Navajo)",48.26
"Tamales (Navajo)",18.12
"Stew, steamed corn (Navajo)",10.8
"Fish, halibut, raw, with skin (Alaska Native)",1.81
"Fish, salmon, coho (silver), raw (Alaska Native)",0
"Blueberries, wild, raw (Alaska Native)",12.31
"Oil, spotted seal (Alaska Native)",0
"Fish, salmon, red, canned, bones removed (Alaska Native)",0
"Fish, whitefish, eggs (Alaska Native)",4.89
"Caribou, rump meat, half dried (Alaska Native)",0
"Fish, salmon, red, (sockeye), canned, smoked (Alaska Native)",0
"Fish, salmon, red, (sockeye), kippered (Alaska Native)",0
"Fish, salmon, king, with skin, kippered, (Alaska Native)",0
"Fish, sheefish, raw (Alaska Native)",0
"Buffalo, free range, top round steak, raw (Shoshone Bannock)",0
"Seal, bearded (Oogruk), meat, partially dried (Alaska Native)",0
"Buffalo, free range, top round steak, cooked (Shoshone Bannock)",0
"Elk, free range, roast, eye of round, raw (Shoshone Bannock)",0
"Corn, dried, yellow (Northern Plains Indians)",66.27
"Smelt, dried (Alaska Native)",0
"Frybread, made with lard (Apache)",46.01
"Corned beef and potatoes in tortilla (Apache)",29.35
"ON THE BORDER, soft taco with ground beef, cheese and lettuce",19.28
"Restaurant, Mexican, soft taco with ground beef, cheese and lettuce",17.92
"Restaurant, Latino, chicken and rice, entree, prepared",20.03
"Restaurant, Latino, empanadas, beef, prepared",31.19
"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",31.49
"Restaurant, Latino, pupusas con queso (pupusas, cheese)",22.39
"Restaurant, Latino, pupusas del cerdo (pupusas, pork)",23.02
"Restaurant, Latino, tamale, corn",26.68
"Restaurant, Mexican, spanish rice",31.16
"Restaurant, Mexican, refried beans",16.79
"Restaurant, Chinese, egg rolls, assorted",27.29
"Restaurant, Chinese, fried rice, without meat",32.79
"CRACKER BARREL, steak fries",30.87
"CRACKER BARREL, grilled sirloin steak",0
"CRACKER BARREL, macaroni n' cheese plate, from kid's menu",15.58
"DENNY'S, french fries",35.2
"DENNY'S, top sirloin steak",0.14
"Restaurant, Chinese, lemon chicken",20.61
"Restaurant, Chinese, general tso's chicken",23.99
"Restaurant, Chinese, kung pao chicken",6.87
"Restaurant, Chinese, vegetable lo mein, without meat",20.16
"Restaurant, Chinese, chicken and vegetables",5.38
"Restaurant, Chinese, orange chicken",22.46
"Restaurant, Italian, spaghetti with meat sauce",16.4
"Beverages, fruit-flavored drink, dry powdered mix, low calorie, with aspartame",87.38
"Pectin, liquid",2.1
"Frozen novelties, ice cream type, vanilla ice cream, light, no sugar added, chocolate coated",26.11
"Creamy dressing, made with sour cream and/or buttermilk and oil, reduced calorie",7
"Bologna, beef and pork, low fat",2.6
"Milk dessert, frozen, milk-fat free, chocolate",37.7
"Whipped topping, frozen, low fat",23.6
"Cream substitute, powdered, light",73.4
"Candies, MARS SNACKFOOD US, M&M's Peanut Butter Chocolate Candies",56.89
"Babyfood, apple yogurt dessert, strained",19.5
"Vegetable oil-butter spread, reduced calorie",0
"Salad dressing, blue or roquefort cheese dressing, light",13.2
"Salad dressing, french dressing, reduced calorie",27
"Sausage, turkey and pork, fresh, bulk, patty or link, cooked",0.7
"Mayonnaise, made with tofu",3.06
"Frankfurter, beef, low fat",1.6
"Milk, buttermilk, fluid, cultured, reduced fat",5.3
"Pork sausage rice links, brown and serve, cooked",2.36
"Salad dressing, blue or roquefort cheese dressing, fat-free",25.6
"Salad Dressing, mayonnaise-like, fat-free",15.5
"Candies, MARS SNACKFOOD US, MILKY WAY Midnight Bar",71.22
"Oil, flaxseed, cold pressed",0
"Cheese, cottage, lowfat, 1% milkfat, lactose reduced",3.2
"Salad dressing, bacon and tomato",2
"Cheese, parmesan, low sodium",3.7
"Jams, preserves, marmalade, reduced sugar",37.6
"Beverages, fruit-flavored drink, powder, with high vitamin C with other added vitamins, low calorie",91
"Tomato and vegetable juice, low sodium",4.59
"Turkey, wing, smoked, cooked, with skin, bone removed",0
"Turkey, drumstick, smoked, cooked, with skin, bone removed",0
"Beverages, Chocolate-flavored drink, whey and milk based",10.68
"Pork, cured, bacon, cooked, broiled, pan-fried or roasted, reduced sodium",1.43
"Turkey, light or dark meat, smoked, cooked, skin and bone removed",0
"Hearts of palm, raw",25.61
"Cereals ready-to-eat, POST, Shredded Wheat n' Bran, spoon-size",80.65
"Cheese, cottage, lowfat, 1% milkfat, with vegetables",3
"Yeast extract spread",20.42
"Babyfood, juice, pear",11.86
"Chicken, meatless, breaded, fried",8.51
"Babyfood, meat, beef with vegetables, toddler",8.72
"Frozen novelties, juice type, juice with cream",24.11
"Tofu yogurt",15.96
"Alcoholic beverage, rice (sake)",5
"Millet, puffed",80
"Cereals ready-to-eat, OAT BRAN FLAKES, HEALTH VALLEY",78
"Babyfood, mixed fruit yogurt, strained",16.23
"Beverages, ABBOTT, ENSURE PLUS, ready-to-drink",19.88
"Babyfood, rice and apples, dry",86.89
"Babyfood, juice, apple - cherry",11.2
"Milk, imitation, non-soy",5.3
"Babyfood, cereal, rice with pears and apple, dry, instant fortified",88.5
"Babyfood, banana no tapioca, strained",21.34
"Babyfood, banana apple dessert, strained",16.3
"Breakfast bar, corn flake crust with fruit",72.8
"Cheese, mozzarella, low sodium",3.1
"Mayonnaise dressing, no cholesterol",0.3
"Oil, corn, peanut, and olive",0
"Pie fillings, blueberry, canned",44.38
"Beverages, Cocktail mix, non-alcoholic, concentrated, frozen",71.6
"Puddings, chocolate flavor, low calorie, regular, dry mix",74.42
"Puddings, all flavors except chocolate, low calorie, regular, dry mix",86.04
"Mollusks, scallop, (bay and sea), cooked, steamed",5.41
"Syrup, Cane",73.14
"Mollusks, snail, raw",2
"Turtle, green, raw",0
"Lemons, raw, without peel",9.32
"Lemon juice, raw",6.9
"Lemon juice from concentrate, canned or bottled",5.62
"Lemon peel, raw",16
"Prickly pears, raw",9.57
"Plums, dried (prunes), stewed, without added sugar",28.08
"Plums, dried (prunes), stewed, with added sugar",32.88
"Prune juice, canned",17.45
"Pummelo, raw",9.62
"Raspberries, raw",11.94
"Raspberries, canned, red, heavy syrup pack, solids and liquids",23.36
"Raspberries, frozen, red, sweetened",26.16
"Rhubarb, raw",4.54
"Sapodilla, raw",19.96
"Sapote, mamey, raw",32.1
"Soursop, raw",16.84
"Strawberries, raw",7.68
"Tamarinds, raw",62.5
"Fruit salad, (pineapple and papaya and banana and guava), tropical, canned, heavy syrup, solids and liquids",22.36
"Watermelon, raw",7.55
"Maraschino cherries, canned, drained",41.97
"Pineapple, canned, juice pack, drained",15.56
"Apricots, canned, heavy syrup, drained",21.31
"Cherries, sour, canned, water pack, drained",10.45
"Cherries, sweet, canned, pitted, heavy syrup, drained",21.07
"Apple juice, canned or bottled, unsweetened, with added ascorbic acid",11.3
"Applesauce, canned, unsweetened, with added ascorbic acid",11.27
"Applesauce, canned, sweetened, with salt",19.91
"Grapefruit juice, pink, raw",9.2
"Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water, with added ascorbic acid",11.54
"Pears, raw, bartlett (Includes foods for USDA's Food Distribution Program)",15.01
"Pears, raw, red anjou",14.94
"Pears, raw, bosc (Includes foods for USDA's Food Distribution Program)",16.1
"Pears, raw, green anjou (Includes foods for USDA's Food Distribution Program)",15.79
"Prune puree",65.1
"Candied fruit",82.74
"Abiyuch, raw",17.6
"Rowal, raw",23.9
"Guava nectar, canned, with added ascorbic acid",16.25
"Mango nectar, canned",13.12
"Tamarind nectar, canned",14.73
"Pomegranate juice, bottled",13.13
"Nance, canned, syrup, drained",22.79
"Nance, frozen, unsweetened",16.97
"Naranjilla (lulo) pulp, frozen, unsweetened",5.9
"Horned melon (Kiwano)",7.56
"Orange Pineapple Juice Blend",12.2
"Apples, raw, fuji, with skin (Includes foods for USDA's Food Distribution Program)",15.22
"Orange juice, chilled, includes from concentrate, with added calcium and vitamins A, D, E",11.54
"Fruit juice smoothie, NAKED JUICE, MIGHTY MANGO",15
"Fruit juice smoothie, NAKED JUICE, GREEN MACHINE",12.53
"Fruit juice smoothie, BOLTHOUSE FARMS, BERRY BOOST",10.9
"Fruit juice smoothie, BOLTHOUSE FARMS, GREEN GOODNESS",13.04
"Fruit juice smoothie, BOLTHOUSE FARMS, strawberry banana",12.37
"Apple juice, canned or bottled, unsweetened, with added ascorbic acid, calcium, and potassium",11.49
"Lemon juice from concentrate, bottled, CONCORD",5.37
"Lemon juice from concentrate, bottled, REAL LEMON",5.66
"Cranberry sauce, whole, canned, OCEAN SPRAY",40.4
"Cranberry sauce, jellied, canned, OCEAN SPRAY",40.61
"Ruby Red grapefruit juice blend (grapefruit, grape, apple), OCEAN SPRAY, bottled, with added vitamin C",10.53
"Baobab powder",79.65
"Cherry juice, tart",13.7
"Raspberries, puree, seedless",7.99
"Raspberries, puree, with seeds",11.51
"Pork, fresh, composite of trimmed leg, loin, shoulder, and spareribs, (includes cuts to be cured), separable lean and fat, raw",0
"Pork, fresh, backfat, raw",0
"Pork, fresh, belly, raw",0
"Pork, fresh, separable fat, raw",0
"Pork, fresh, leg (ham), rump half, separable lean and fat, raw",0
"Pork, fresh, leg (ham), rump half, separable lean and fat, cooked, roasted",0
"Pork, fresh, leg (ham), rump half, separable lean only, raw (Includes foods for USDA's Food Distribution Program)",0
"Pork, fresh, leg (ham), rump half, separable lean only, cooked, roasted",0
"Pork, fresh, loin, whole, separable lean and fat, raw",0
"Pork, fresh, loin, whole, separable lean and fat, cooked, braised",0
"Pork, fresh, loin, whole, separable lean and fat, cooked, broiled",0
"Pork, fresh, loin, whole, separable lean and fat, cooked, roasted",0
"Pork, fresh, loin, blade (chops or roasts), bone-in, separable lean and fat, raw",0
"Pork, fresh, loin, blade (chops), bone-in, separable lean and fat, cooked, braised",0
"Pork, fresh, loin, blade (chops), bone-in, separable lean and fat, cooked, broiled",0
"Pork, fresh, loin, blade (roasts), bone-in, separable lean and fat, cooked, roasted",0
"Pork, fresh, loin, center loin (chops), bone-in, separable lean and fat, cooked, braised",0
"Pork, fresh, loin, center loin (chops), bone-in, separable lean and fat, cooked, broiled",0
"Pork, fresh, loin, center loin (roasts), bone-in, separable lean and fat, cooked, roasted",0
"Pork, fresh, loin, center loin (chops), bone-in, separable lean only, raw",0
"Pork, fresh, loin, center rib (chops), bone-in, separable lean and fat, cooked, braised",0
"Pork, fresh, loin, center rib (chops), bone-in, separable lean and fat, cooked, broiled",0
"Pork, fresh, loin, center rib (roasts), bone-in, separable lean and fat, cooked, roasted",0
"Pork, fresh, loin, center rib (chops or roasts), bone-in, separable lean only, raw",0
"Pork, fresh, loin, sirloin (chops), bone-in, separable lean and fat, cooked, braised",0
"Pork, fresh, loin, sirloin (chops), bone-in, separable lean and fat, cooked, broiled",0
"Pork, fresh, loin, sirloin (roasts), bone-in, separable lean and fat, cooked, roasted",0
"Pork, fresh, loin, sirloin (chops or roasts), bone-in, separable lean only, raw",0
"Pork, fresh, loin, sirloin (chops), bone-in, separable lean only, cooked, braised",0
"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, raw",0
"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, cooked, braised",0
"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, cooked, broiled",0
"Pork, fresh, loin, top loin (roasts), boneless, separable lean and fat, cooked, roasted",0
"Pork, fresh, shoulder, whole, separable lean and fat, raw",0
"Pork, fresh, shoulder, whole, separable lean and fat, cooked, roasted",0
"Pork, fresh, shoulder, whole, separable lean only, raw",0
"Pork, fresh, shoulder, whole, separable lean only, cooked, roasted",0
"Pork, fresh, shoulder, arm picnic, separable lean only, cooked, braised",0
"Pork, fresh, shoulder, arm picnic, separable lean only, cooked, roasted",0
"Pork, fresh, shoulder, (Boston butt), blade (steaks), separable lean and fat, raw",0
"Pork, fresh, shoulder, (Boston butt), blade (steaks), separable lean and fat, cooked, braised",0
"Pork, fresh, shoulder, blade, boston (steaks), separable lean and fat, cooked, broiled",0
"Pork, fresh, shoulder, blade, boston (roasts), separable lean only, cooked, roasted",0
"Pork, fresh, spareribs, separable lean and fat, raw",0
"Pork, fresh, spareribs, separable lean and fat, cooked, braised",0
"Pork, fresh, composite of trimmed retail cuts (leg, loin, and shoulder), separable lean only, cooked",0
"Pork, fresh, variety meats and by-products, chitterlings, cooked, simmered",0
"Pork, fresh, variety meats and by-products, ears, frozen, raw",0.6
"Pork, fresh, variety meats and by-products, ears, frozen, cooked, simmered",0.2
"Pork, fresh, variety meats and by-products, feet, raw",0
"Pork, fresh, variety meats and by-products, kidneys, cooked, braised",0
"Pork, fresh, variety meats and by-products, leaf fat, raw",0
"Pork, fresh, variety meats and by-products, liver, raw",2.47
"Pork, fresh, variety meats and by-products, liver, cooked, braised",3.76
"Pork, fresh, variety meats and by-products, lungs, raw",0
"Pork, fresh, variety meats and by-products, spleen, raw",0
"Pork, fresh, variety meats and by-products, spleen, cooked, braised",0
"Pork, fresh, variety meats and by-products, stomach, raw",0
"Pork, fresh, loin, blade (chops), bone-in, separable lean only, cooked, pan-fried",0
"Canadian bacon, unprepared",1.34
"Pork, cured, feet, pickled",0.01
"Pork, cured, ham, boneless, extra lean (approximately 5% fat), roasted",1.5
"Pork, cured, ham, boneless, regular (approximately 11% fat), roasted",0
"Pork, cured, ham, patties, unheated",1.69
"Pork, cured, ham, steak, boneless, extra lean, unheated",0
"Pork, cured, ham, whole, separable lean and fat, unheated",0.06
"Pork, cured, ham, whole, separable lean only, unheated",0.05
"Pork, cured, separable fat (from ham and arm picnic), unheated",0.09
"Pork, cured, separable fat (from ham and arm picnic), roasted",0
"Pork, cured, shoulder, arm picnic, separable lean and fat, roasted",0
"Pork, cured, shoulder, arm picnic, separable lean only, roasted",0
"Pork, fresh, variety meats and by-products, tail, cooked, simmered",0
"Pork, fresh, loin, center loin (chops), bone-in, separable lean only, cooked, pan-fried",0
"Pork, fresh, loin, center rib (chops), bone-in, separable lean only, cooked, pan-fried",0
"Pork, fresh, loin, blade (chops), bone-in, separable lean and fat, cooked, pan-fried",0
"Pork, cured, ham, extra lean and regular, canned, unheated",0
"Pork, cured, ham, extra lean and regular, canned, roasted",0.49
"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, cooked, pan-fried",0
"Pork, fresh, composite of trimmed retail cuts (leg, loin, shoulder, and spareribs), separable lean and fat, raw",0
"Pork, fresh, loin, center rib (chops or roasts), boneless, separable lean and fat, raw",0
"Pork, fresh, loin, center rib (chops), boneless, separable lean and fat, cooked, braised",0
"Pork, fresh, loin, center rib (chops), boneless, separable lean and fat, cooked, broiled",0
"Pork, fresh, loin, center rib (chops), boneless, separable lean and fat, cooked, pan-fried",0
"Pork, fresh, loin, center rib (chops), boneless, separable lean only, cooked, pan-fried",0
"Pork, fresh, loin, center rib (roasts), boneless, separable lean only, cooked, roasted",0
"Pork, fresh, loin, country-style ribs, separable lean and fat, raw",0
"Pork, fresh, loin, country-style ribs, separable lean and fat, cooked, braised",0
"Pork, fresh, loin, country-style ribs, separable lean and fat, bone-in, cooked, roasted",0
"Pork, fresh, loin, sirloin (chops), boneless, separable lean and fat, cooked, braised",0
"Pork, fresh, loin, sirloin (chops), boneless, separable lean and fat, cooked, broiled",0
"Pork, fresh, loin, sirloin (roasts), boneless, separable lean and fat, cooked, roasted",0
"Pork, fresh, loin, sirloin (chops or roasts), boneless, separable lean only, raw",0
"Pork, fresh, ground, raw",0
"Pork, fresh, ground, cooked",0
"Pork, fresh, loin, tenderloin, separable lean and fat, cooked, broiled",0
"Pork, fresh, loin, tenderloin, separable lean and fat, cooked, roasted",0
"Pork, fresh, composite of trimmed retail cuts (loin and shoulder blade), separable lean and fat, cooked",0
"Pork, fresh, composite of trimmed retail cuts (loin and shoulder blade), separable lean only, raw",0
"Pork, fresh, composite of trimmed retail cuts (loin and shoulder blade), separable lean only, cooked",0
"HORMEL, Cure 81 Ham",0.21
"HORMEL ALWAYS TENDER, Pork Tenderloin, Teriyaki-Flavored",4.63
"HORMEL Canadian Style Bacon",1.87
"Pork, fresh, loin, top loin (chops), boneless, separable lean only, with added solution, cooked, pan-broiled",0
"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, with added solution, cooked, pan-broiled",0
"Pork, cured, bacon, cooked, baked",1.35
"Pork, cured, ham -- water added, rump, bone-in, separable lean only, heated, roasted",0.87
"Pork, cured, ham -- water added, rump, bone-in, separable lean only, unheated",0.67
"Pork, cured, ham -- water added, shank, bone-in, separable lean only, heated, roasted",1.2
"Pork, cured, ham -- water added, slice, bone-in, separable lean only, heated, pan-broil",1.48
"Pork, cured, ham with natural juices, rump, bone-in, separable lean only, heated, roasted",0.48
"Pork, cured, ham with natural juices, shank, bone-in, separable lean only, heated, roasted",0.34
"Pillsbury Grands, Buttermilk Biscuits, refrigerated dough",42.41
"Heinz, Weight Watcher, Chocolate Eclair, frozen",40.3
"Interstate Brands Corp, Wonder Hamburger Rolls",50.84
"Nabisco, Nabisco Snackwell's Fat Free Devil's Food Cookie Cakes",74.25
"Crackers, cheese, sandwich-type with cheese filling",58.76
"Pancakes, plain, frozen, ready-to-heat, microwave (includes buttermilk)",43.33
"Toaster Pastries, fruit, frosted (include apples, blueberry, cherry, strawberry)",71.83
"Toaster pastries, fruit, toasted (include apple, blueberry, cherry, strawberry)",72.7
"Muffin, blueberry, commercially prepared, low-fat",50.05
"Pie crust, refrigerated, regular, baked",58.52
"Pie crust, deep dish, frozen, baked, made with enriched flour",52.47
"Pie crust, refrigerated, regular, unbaked",51.11
"Crackers, whole-wheat, reduced fat",75.52
"Crackers, wheat, reduced fat",71.52
"Bread, pan dulce, sweet yeast bread",56.38
"Keikitos (muffins), Latino bakery item",53.16
"Cake, pound, Bimbo Bakeries USA, Panque Casero, home baked style",48.94
"Pan Dulce, La Ricura, Salpora de Arroz con Azucar, cookie-like, contains wheat flour and rice flour",66.28
"Garlic bread, frozen",41.72
"Cinnamon buns, frosted (includes honey buns)",48.6
"Crackers, cheese, reduced fat",68.19
"Crackers, saltines, whole wheat (includes multi-grain)",68.25
"Bread, potato",47.07
"Bread, cheese",44.83
"Focaccia, Italian flatbread, plain",35.82
"SCHIFF,TIGER'S MILK BAR",56.46
"Candies, TOBLERONE, milk chocolate with honey and almond nougat",61.21
"Snacks, corn-based, extruded, onion-flavor",65.1
"Snacks, corn-based, extruded, puffs or twists, cheese-flavor",54.54
"Snacks, KRAFT, CORNNUTS, plain",71.86
"Snacks, crisped rice bar, chocolate chip",73
"Snacks, granola bars, hard, chocolate chip",72.1
"Fruit syrup",85.13
"Snacks, granola bars, soft, uncoated, plain",67.3
"Snacks, granola bars, soft, uncoated, peanut butter",64.4
"Topping, SMUCKER'S MAGIC SHELL",50.07
"Syrup, fruit flavored",65.1
"Snacks, oriental mix, rice-based",51.62
"Snacks, popcorn, air-popped",77.78
"Snacks, popcorn, cheese-flavor",51.6
"Snacks, pork skins, plain",0
"Snacks, potato chips, barbecue-flavor",55.92
"Snacks, potato chips, sour-cream-and-onion-flavor",51.5
"Snacks, M&M MARS, COMBOS Snacks Cheddar Cheese Pretzel",66.5
"Snacks, pretzels, hard, whole-wheat including both salted and unsalted",81.3
"Snacks, rice cracker brown rice, plain",81.5
"Snacks, rice cakes, brown rice, buckwheat",80.1
"Snacks, trail mix, tropical",65.6
"Snacks, trail mix, regular, with chocolate chips, salted nuts and seeds",44.9
"Snacks, tortilla chips, taco-flavor",63.1
"Candies, TOOTSIE ROLL, chocolate-flavor roll",87.73
"Candies, butterscotch",90.4
"Candies, carob, unsweetened",56.29
"Candies, caramels",77
"Candies, CARAMELLO Candy Bar",63.81
"Candies, semisweet chocolate",63.9
"Candies, sweet chocolate",60.4
"Candies, sweet chocolate coated fondant",80.4
"Candies, HERSHEY'S GOLDEN ALMOND SOLITAIRES",46.85
"Candies, confectioner's coating, butterscotch",67.1
"Ice creams, french vanilla, soft-serve",22.2
"Candies, YORK Peppermint Pattie",80.99
"Candies, TWIZZLERS NIBS CHERRY BITS",79.37
"Candies, SYMPHONY Milk Chocolate Bar",58.01
"Candies, 5TH AVENUE Candy Bar",62.68
"Candies, fondant, prepared-from-recipe",93.18
"Candies, fudge, chocolate, prepared-from-recipe",76.7
"Candies, fudge, chocolate, with nuts, prepared-from-recipe",68.15
"Candies, gumdrops, starch jelly pieces",98.9
"Candies, hard",98
"Candies, jellybeans",93.55
"Candies, KIT KAT Wafer Bar",64.59
"Candies, KRACKEL Chocolate Bar",64.34
"Candies, MARS SNACKFOOD US, MARS Almond Bar",62.7
"Candies, marshmallows",81.3
"Candies, halavah, plain",60.49
"Candies, NESTLE, OH HENRY! Bar",65.5
"Puddings, chocolate, dry mix, instant, prepared with 2% milk",18.89
"Baking chocolate, mexican, squares",77.41
"Chocolate-flavored hazelnut spread",62.36
"Candies, milk chocolate coated peanuts",49.7
"Glutino, Gluten Free Wafers, Lemon Flavored",74.39
"Glutino, Gluten Free Wafers, Milk Chocolate",62.82
"Mary's Gone Crackers, Original Crackers, Organic Gluten Free",64.29
"Pepperidge Farm, Goldfish, Baked Snack Crackers, Cheddar",66.2
